Year,Player,Position,College,40,Vertical,Broad,Shuttle,Bench
2017,Stevie Tu'ikolovatu,DT,Southern California,5.45,24.5,91,4.65,28
2019,D.K. Metcalf,WR,Mississippi,4.33,40.5,134,4.5,27
2009,Cedric Peerman,RB,Virginia,4.34,40,117,4.29,27
2007,Chris Houston,CB,Arkansas,4.37,36,122,4.12,27
2009,Brooks Foster,WR,North Carolina,4.45,,,,27
2007,Alonzo Coleman,RB,Hampton,4.5,,120,,27
2011,Greg Little,WR,North Carolina,4.51,40.5,129,4.21,27
2012,Coby Fleener,TE,Stanford,4.52,,,,27
2019,N'Keal Harry,WR,Arizona State,4.53,38.5,122,,27
2024,Blake Corum,RB,Michigan,4.53,35.5,,,27
2011,Delone Carter,RB,Syracuse,4.54,37,120,4.07,27
2013,Christine Michael,RB,Texas A&M,4.54,43,125,4.02,27
2013,Zac Stacy,RB,Vanderbilt,4.55,33,122,4.17,27
2022,Kayvon Thibodeaux,DE,Oregon,4.58,,,,27
2013,Corey Lemonier,DE,Auburn,4.6,33,119,4.4,27
2006,Joe Klopfenstein,TE,Colorado,4.65,36,112,4.21,27
2006,James Wyche,DE,Syracuse,4.66,33,116,4.51,27
2008,Craig Stevens,TE,California,4.67,27.5,114,4.31,27
2010,Dennis Pitta,TE,Brigham Young,4.68,34,113,4.17,27
2011,Luke Stocker,TE,Tennessee,4.68,33,115,4.4,27
2012,Whitney Mercilus,DE,Illinois,4.68,32,118,4.53,27
2011,Allen Bailey,DE,Miami (FL),4.71,36.5,117,4.56,27
2007,Brian Robison,DE,Texas,4.72,40.5,121,4.26,27
2005,T.A. McLendon,RB,North Carolina State,4.74,35,115,4.19,27
2005,Khari Long,DE,Baylor,4.76,38.5,121,4.07,27
2018,Ogbonnia Okoronkwo,DE,Oklahoma,4.77,38,121,,27
2006,Jeremy Mincey,DE,Florida,4.78,33.5,116,4.25,27
2015,Anthony Chickillo,DE,Miami (FL),4.79,34.5,114,4.25,27
2017,Noble Nwachukwu,DE,West Virginia,4.83,30.5,110,4.37,27
2009,Will Davis,DE,Illinois,4.84,33,115,4.45,27
2014,Troy Niklas,TE,Notre Dame,4.84,32,113,4.55,27
2007,Turk McBride,DT,Tennessee,4.85,31,108,4.12,27
2011,Charlie Gantt,TE,Michigan State,4.85,30.5,112,4.4,27
2012,Dwayne Allen,TE,Clemson,4.85,32,110,4.37,27
2006,Darryl Tapp,DE,Virginia Tech,4.86,33,109,4.48,27
2018,DaRon Payne,DT,Alabama,4.9,28.5,107,4.71,27
2005,Benard Thomas,DE,Nebraska,4.92,30,100,4.34,27
2012,Vaughn Meatoga,DT,Hawaii,4.93,30,108,4.21,27
2006,Charles Davis,TE,Purdue,4.94,31.5,108,4.37,27
2011,Muhammad Wilkerson,DT,Temple,4.96,26,106,4.59,27
2015,Marcus Hardison,DT,Arizona State,4.96,,,,27
2011,Corey Liuget,DT,Illinois,4.97,27.5,102,4.68,27
2021,Alim McNeill,DT,North Carolina State,5,30.5,108,4.65,27
2019,Khalen Saunders,DT,Western Illinois,5.01,30.5,101,4.62,27
2013,Sylvester Williams,DT,North Carolina,5.03,26.5,102,4.8,27
2014,Kelcy Quarles,DT,South Carolina,5.03,23.5,101,,27
2005,Derreck Robinson,DT,Iowa,5.04,34.5,108,4.53,27
2007,Ryan McBean,DT,Oklahoma State,5.05,28,108,4.46,27
2014,Timmy Jernigan,DT,Florida State,5.06,29.5,101,4.83,27
2024,Marcus Harris,DT,Auburn,5.06,29.5,103,,27
2021,Josiah Bronson,DT,Washington,5.07,30,101,4.72,27
2021,Carlo Kemp,DT,Michigan,5.07,28.5,97,4.57,27
2005,C.J. Mosley,DT,Missouri,5.08,27.5,100,4.65,27
2021,Tedarrell Slaton,DT,Florida,5.09,29,109,4.84,27
2009,SammieLee Hill,DT,Stillman,5.12,28,109,4.97,27
2005,Eric Coleman,DT,Clemson,5.15,33,118,4.71,27
2009,Sammie Hill,DT,Colorado,5.17,28,109,4.97,27
2007,Marcus Thomas,DT,Florida,5.18,,,,27
2014,Daniel McCullers,DT,Tennessee,5.18,20.5,104,,27
2010,Dan Williams,DT,Tennessee,5.19,32,96,4.87,27
2006,SirHenry Anderson,DT,Oregon State,5.22,28.5,100,4.55,27
2006,Sir Henry Anderson,DT,Oregon State,5.23,28.5,100,4.55,27
2011,Jerrell Powe,DT,Mississippi,5.25,25,93,5.06,27
2010,Vince Oghobaase,DT,Duke,5.46,26,90,,27
2021,Lorenzo Neal,DT,Purdue,5.63,25.5,101,4.88,27
2010,Ben Tate,RB,Auburn,4.34,40.5,124,4.12,26
2007,Chris Henry,RB,Arizona,4.41,36,127,4.14,26
2009,Ian Johnson,RB,Boise State,4.41,33,116,4.18,26
2010,Lonyae Miller,RB,Fresno State,4.43,36.5,120,4.54,26
2015,Josh Shaw,CB,Southern California,4.44,37.5,130,4.12,26
2008,Rashard Mendenhall,RB,Illinois,4.45,33.5,117,4.18,26
2011,Marcus Gilchrist,CB,Clemson,4.45,38.5,119,4.12,26
2014,Bishop Sankey,RB,Washington,4.49,35.5,125,4,26
2007,Lorenzo Booker,RB,Florida State,4.5,35.5,121,,26
2011,Darren Evans,RB,Virginia Tech,4.56,35,111,4.46,26
2012,Jewel Hampton,RB,Southern Illinois,4.56,,,,26
2008,Dustin Keller,TE,Purdue,4.57,38,131,4.14,26
2015,Michael Dyer,RB,Louisville,4.58,34,120,,26
2019,Rashan Gary,DE,Michigan,4.58,38,120,4.29,26
2005,Brady Poppinga,DE,Brigham Young,4.63,35.5,106,4.38,26
2009,Everette Brown,DE,Florida State,4.65,31.5,114,4.53,26
2021,Justin Henderson,RB,Louisiana Tech,4.65,32,118,4.59,26
2021,Briley Moore,TE,Kansas State,4.66,37.5,123,4.37,26
2012,Donte Paige-Moss,DE,North Carolina,4.67,,,,26
2020,Joe Bachie,LB,Michigan State,4.67,33.5,119,4.34,26
2016,Soma Vainuku,RB,Southern California,4.68,32,108,,26
2014,James Gayle,DE,Virginia Tech,4.7,37,122,4.27,26
2015,Gus Johnson,RB,Stephen F. Austin,4.7,36.5,120,4.13,26
2007,C.J. Ah You,DE,Oklahoma,4.72,36.5,108,4.4,26
2007,CJ Ah You,DE,Oklahoma,4.73,36.5,108,4.4,26
2013,T.J. Moe,WR,Missouri,4.74,36,120,3.96,26
2010,Kevin Basped,DE,Nevada,4.75,29,104,4.88,26
2016,Yannick Ngakoue,DE,Maryland,4.75,34.5,118,4.5,26
2018,John Franklin-Myer,DE,Stephen F. Austin,4.75,33,113,4.48,26
2018,John Franklin-Myers,DE,Stephen F. Austin,4.75,33,113,4.48,26
2021,Daelin Hayes,DE,Notre Dame,4.75,32.5,119,4.3,26
2019,Elijah Holyfield,RB,Georgia,4.78,29.5,118,,26
2021,Elerson Smith,DE,Northern Iowa,4.78,41.5,127,4.39,26
2024,Braden Fiske,DT,Florida State,4.78,33.5,117,4.37,26
2009,Dan Gronkowski,TE,Maryland,4.79,33,122,4.26,26
2015,Jeff Heuerman,TE,Ohio State,4.8,,,,26
2009,Jason Boltus,QB,Hartwick,4.82,31.5,111,4.47,26
2005,Matt Roth,DE,Iowa,4.83,32,110,4.36,26
2015,Jesse James,TE,Penn State,4.83,37.5,121,4.5,26
2018,Ola Adeniyi,DE,Toledo,4.83,31.5,,4.28,26
2018,Olasunkanmi Adeniyi,DE,Toledo,4.83,31.5,,4.28,26
2011,Cheta Ozougwu,DE,Rice,4.84,34.5,119,4.31,26
2012,Derrick Shelby,DE,Utah,4.87,35.5,116,4.5,26
2013,Malliciah Goodman,DE,Clemson,4.87,31.5,114,,26
2011,Ricky Elmore,DE,Arizona,4.88,31.5,106,4.32,26
2009,Pannel Egboh,DE,Stanford,4.9,31.5,116,4.4,26
2010,Alex Carrington,DE,Arkansas State,4.92,,,,26
2011,Brandon Bair,DE,Oregon,4.92,28,114,4.37,26
2014,Dominique Easley,DT,Florida,4.93,,,,26
2007,Jay Moore,DE,Nebraska,4.96,34,118,4.35,26
2017,Larry Ogunjobi,DT,North Carolina Charlotte,4.97,32,116,4.72,26
2010,Clifton Geathers,DE,South Carolina,4.98,36,112,,26
2015,Darius Philon,DT,Arkansas,5,31,107,,26
2008,Kenny Iwebema,DE,Iowa,5.01,29,109,4.75,26
2012,Devon Still,DT,Penn State,5.01,29.5,,,26
2016,Ufomba Kamalu,DT,Miami (FL),5.01,25,106,4.58,26
2015,Rakeem Nunez-Roches,DT,Southern Mississippi,5.02,34,114,4.69,26
2016,Joel Heath,DT,Michigan State,5.02,33,113,4.52,26
2010,Jared Odrick,DT,Penn State,5.03,29,106,4.59,26
2016,Chris Jones,DT,Mississippi State,5.03,24.5,106,4.62,26
2011,Jurrell Casey,DT,Southern California,5.04,27.5,101,4.78,26
2010,Jammie Kirlew,DE,Indiana,5.05,33,111,4.74,26
2015,Malcom Brown,DT,Texas,5.05,29.5,98,4.59,26
2014,Jay Bromley,DT,Syracuse,5.06,33.5,104,4.78,26
2015,B.J. Dubose,DE,Louisville,5.06,,,,26
2018,Matt Dickerson,DE,UCLA,5.06,31,,,26
2017,Vincent Taylor,DT,Oklahoma State,5.07,28.5,108,4.59,26
2005,Mike Patterson,DT,Southern California,5.08,,,,26
2008,Marcus Harrison,DT,Arkansas,5.08,,,,26
2008,Bryan Mattison,DE,Iowa,5.09,24.5,112,4.7,26
